iter	Passed	Remaining
0	145	144963
1	146	73171
2	148	49355
3	150	37362
4	151	30178
5	153	25382
6	156	22250
7	158	19662
8	160	17669
9	162	16127
10	164	14777
11	165	13659
12	167	12723
13	170	12036
14	173	11375
15	176	10865
16	178	10335
17	180	9863
18	185	9566
19	188	9233
20	191	8907
21	193	8584
22	194	8279
23	196	7996
24	198	7728
25	201	7543
26	203	7328
27	205	7143
28	207	6953
29	209	6770
30	211	6599
31	212	6439
32	215	6324
33	220	6269
34	223	6151
35	225	6032
36	227	5921
37	232	5882
38	235	5791
39	237	5691
40	239	5592
41	241	5505
42	243	5417
43	246	5346
44	248	5267
45	250	5190
46	252	5114
47	254	5042
48	256	4975
49	258	4907
50	262	4875
51	264	4814
52	266	4753
53	267	4689
54	269	4628
55	271	4571
56	273	4530
57	275	4481
58	278	4434
59	280	4387
60	281	4336
61	283	4287
62	284	4237
63	286	4189
64	288	4142
65	289	4098
66	292	4069
67	294	4030
68	295	3992
69	297	3950
70	298	3911
71	300	3874
72	302	3839
73	304	3805
74	307	3787
75	309	3759
76	311	3731
77	313	3703
78	315	3682
79	318	3661
80	320	3635
81	322	3613
82	323	3576
83	325	3551
84	327	3527
85	330	3507
86	332	3484
87	334	3464
88	337	3455
89	339	3434
90	341	3412
91	343	3391
92	345	3370
93	347	3348
94	349	3325
95	351	3310
96	353	3289
97	355	3268
98	356	3246
99	358	3227
100	360	3207
101	362	3189
102	364	3170
103	366	3158
104	368	3142
105	370	3124
106	372	3111
107	375	3097
108	376	3080
109	378	3064
110	381	3058
111	384	3046
112	386	3035
113	390	3035
114	393	3026
115	395	3013
116	397	2998
117	399	2983
118	400	2967
119	402	2951
120	404	2936
121	405	2919
122	407	2905
123	409	2892
124	411	2878
125	413	2866
126	414	2851
127	416	2837
128	418	2823
129	419	2809
130	421	2795
131	423	2781
132	424	2768
133	426	2758
134	428	2748
135	430	2736
136	432	2723
137	434	2711
138	435	2698
139	437	2686
140	438	2673
141	439	2657
142	442	2649
143	443	2639
144	445	2627
145	447	2616
146	448	2604
147	450	2593
148	452	2581
149	453	2570
150	455	2560
151	457	2553
152	459	2544
153	461	2533
154	462	2522
155	464	2512
156	466	2502
157	467	2492
158	469	2482
159	471	2474
160	472	2463
161	474	2455
162	476	2445
163	477	2436
164	479	2426
165	481	2417
166	482	2407
167	484	2398
168	486	2394
169	488	2386
170	490	2377
171	492	2368
172	493	2359
173	495	2351
174	496	2342
175	498	2333
176	499	2324
177	502	2319
178	503	2311
179	505	2303
180	507	2295
181	508	2287
182	510	2280
183	512	2273
184	514	2266
185	517	2266
186	519	2259
187	521	2252
188	523	2244
189	524	2236
190	526	2229
191	527	2221
192	529	2214
193	532	2211
194	534	2205
195	535	2198
196	537	2191
197	539	2184
198	541	2178
199	542	2170
200	544	2162
201	545	2155
202	548	2151
203	550	2146
204	551	2139
205	553	2132
206	554	2125
207	556	2119
208	558	2112
209	559	2106
210	561	2100
211	563	2095
212	565	2089
213	567	2082
214	568	2076
215	570	2070
216	571	2063
217	573	2057
218	574	2050
219	577	2046
220	579	2041
221	580	2035
222	582	2028
223	583	2022
224	585	2015
225	586	2010
226	588	2004
227	590	1998
228	592	1994
229	594	1989
230	596	1984
231	597	1979
232	599	1974
233	602	1971
234	604	1967
235	606	1962
236	608	1958
237	610	1953
238	611	1947
239	613	1942
240	614	1936
241	616	1930
242	617	1924
243	619	1919
244	621	1914
245	623	1910
246	624	1904
247	626	1898
248	627	1893
249	629	1887
250	630	1882
251	632	1876
252	633	1871
253	635	1866
254	637	1863
255	639	1858
256	641	1853
257	643	1850
258	645	1845
259	646	1840
260	648	1835
261	650	1831
262	652	1828
263	654	1824
264	655	1819
265	657	1814
266	658	1809
267	660	1803
268	662	1799
269	663	1794
270	665	1789
271	667	1785
272	669	1781
273	670	1777
274	672	1773
275	674	1770
276	677	1767
277	679	1763
278	680	1759
279	682	1756
280	684	1752
281	686	1747
282	688	1743
283	690	1740
284	692	1736
285	693	1732
286	695	1728
287	697	1725
288	700	1722
289	701	1718
290	703	1714
291	705	1709
292	706	1705
293	708	1701
294	710	1696
295	712	1693
296	714	1690
297	715	1686
298	717	1682
299	719	1677
300	720	1673
301	722	1669
302	723	1664
303	725	1660
304	727	1657
305	729	1654
306	731	1650
307	732	1646
308	734	1641
309	735	1637
310	737	1633
311	738	1629
312	740	1624
313	742	1622
314	744	1619
315	746	1616
316	748	1612
317	749	1608
318	751	1604
319	753	1600
320	754	1596
321	756	1592
322	759	1591
323	761	1588
324	763	1585
325	765	1582
326	766	1578
327	768	1574
328	770	1570
329	772	1568
330	774	1564
331	775	1561
332	777	1557
333	779	1554
334	781	1550
335	783	1548
336	785	1545
337	789	1545
338	791	1542
339	792	1538
340	794	1534
341	795	1531
342	797	1527
343	798	1523
344	800	1519
345	802	1517
346	804	1514
347	806	1510
348	807	1506
349	809	1502
350	810	1498
351	811	1494
352	813	1490
353	815	1487
354	817	1485
355	819	1483
356	821	1480
357	823	1476
358	824	1472
359	826	1469
360	827	1465
361	830	1463
362	831	1459
363	833	1457
364	835	1454
365	837	1450
366	839	1447
367	841	1444
368	843	1442
369	845	1439
370	848	1438
371	850	1435
372	852	1432
373	853	1428
374	855	1425
375	856	1422
376	858	1418
377	860	1415
378	861	1411
379	865	1411
380	867	1409
381	869	1406
382	870	1402
383	872	1399
384	874	1396
385	875	1393
386	878	1390
387	879	1387
388	881	1384
389	883	1381
390	885	1378
391	887	1376
392	890	1374
393	893	1374
394	895	1372
395	897	1368
396	898	1365
397	900	1362
398	902	1359
399	903	1355
400	905	1352
401	907	1349
402	909	1347
403	911	1344
404	912	1341
405	914	1338
406	916	1334
407	917	1331
408	919	1328
409	920	1324
410	922	1321
411	924	1319
412	926	1316
413	927	1313
414	929	1310
415	930	1306
416	932	1303
417	933	1300
418	935	1297
419	937	1293
420	939	1291
421	941	1289
422	942	1286
423	944	1283
424	946	1279
425	947	1276
426	949	1273
427	950	1270
428	952	1267
429	954	1265
430	956	1263
431	958	1260
432	960	1257
433	962	1255
434	964	1252
435	966	1249
436	968	1247
437	970	1245
438	972	1242
439	973	1239
